,IV,MIV,bins
RevolvingUtilizationOfUnsecuredLines,1.161629884,1.161629884,"[-inf, -2.0, 0.13183673471212387, 0.3008972406387329, 0.49497613310813904, 0.6981423199176788, 0.862791508436203, 1.0051032900810242, 1.0284472703933716, inf]"
NumberOfTimes90DaysLate,0.876366225,0.876366225,"[-inf, -2.0, 0.5, 1.5, 2.5, inf]"
NumberOfTime30-59DaysPastDueNotWorse,0.75466362,0.75466362,"[-inf, -2.0, 0.5, 1.5, 3.5, inf]"
NumberOfTime60-89DaysPastDueNotWorse,0.598831859,0.598831859,"[-inf, -2.0, 0.5, 1.5, 2.5, inf]"
age,0.262246247,0.262246247,"[-inf, -2.0, 28.5, 36.5, 43.5, 55.5, 57.5, 62.5, 67.5, inf]"
isRetired,0.158869087,0.158869087,"[-inf, -2.0, 0.5, inf]"
MonthlyIncomePerPerson,0.11744412,0.11744412,"[-inf, -2.0, 0.5833333432674408, 106.0999984741211, 1601.875, 3331.5, 4833.166748046875, 6648.25, 9831.0, inf]"
NumberOfOpenCreditLinesAndLoans,0.106560092,0.106560092,"[-inf, -2.0, 0.5, 1.5, 2.5, 3.5, 13.5, inf]"
DebtRatio_log,0.092421227,0.092421227,"[-inf, -6.894921541213989, -4.054256439208984, -2.0, -0.8572655320167542, -0.42361660301685333, 1.3797337412834167, 6.90324592590332, inf]"
MonthlyIncome_log,0.088390007,0.088390007,"[-inf, -2.0, 6.705028057098389, 6.835722923278809, 8.111478328704834, 8.80139446258545, 8.812173843383789, 9.204875469207764, 9.541297435760498, inf]"
NumberRealEstateLoansOrLines,0.063888192,0.063888192,"[-inf, -2.0, 0.5, 2.5, 4.5, 6.5, inf]"
MonthlyDebt,0.058432734,0.058432734,"[-inf, -2.0, 0.9978933930397034, 92.93417739868164, 910.8305969238281, 5238.66943359375, 5263.639892578125, 8946.34228515625, 12320.7880859375, inf]"
NumberOfDependents,0.034365207,0.034365207,"[-inf, -2.0, 0.5, 1.5, 2.5, 3.5, inf]"
dummy_prob,-99,-99,[]
